API,excipient,API_percent,exc_percent,API_coated,API_coat_percent,exc_coated,exc_coat_percent,FF,FF_regime
3,44,25,75,0,0,0,0,2.5884,2
3,44,25,75,1,100,0,0,2.6474,2
3,44,25,75,1,75,0,0,2.696,2
3,44,25,75,1,50,0,0,2.7171,2
3,44,75,25,1,50,0,0,2.8208,2
3,44,50,50,1,100,0,0,3.1372,2
3,44,75,25,1,100,0,0,3.198,2
3,44,100,0,0,0,0,0,3.2,2
3,44,50,50,1,75,0,0,3.2544,2
3,44,75,25,1,25,0,0,3.3031,2
3,44,75,25,0,0,0,0,3.3164,2
3,44,75,25,1,75,0,0,3.3949,2
3,44,50,50,1,50,0,0,3.4296,2
3,44,25,75,1,25,0,0,3.65,2
3,44,50,50,0,0,0,0,4.26,3
3,44,100,0,1,100,0,0,5.4,3
3,44,75,25,0,0,1,100,6.999444,3
3,44,75,25,1,100,1,100,10.87,4
3,44,0,100,0,0,1,100,13.4,4
3,44,25,75,0,0,1,100,14,4
3,44,50,50,0,0,1,100,24.32,4
3,44,25,75,1,100,1,100,25.46,4
3,44,50,50,1,100,1,100,30.84,4
4,11,100,0,0,0,0,0,1.18,1
4,11,75,25,0,0,0,0,1.6129,1
4,11,75,25,0,0,1,100,1.750925333,1
4,11,50,50,0,0,1,100,2.215002,2
4,11,50,50,0,0,0,0,2.3435,2
4,11,75,25,1,75,0,0,3.3661,2
4,11,75,25,1,100,0,0,3.8618,2
4,11,75,25,1,25,0,0,4.0231,3
4,11,75,25,1,1,0,0,4.32,3
4,11,50,50,1,100,0,0,4.6744,3
4,11,50,50,1,25,0,0,4.9246,3
4,11,50,50,1,75,0,0,5.2444,3
4,11,25,75,0,0,0,0,5.431,3
4,11,100,0,1,100,0,0,5.5,3
4,11,50,50,1,50,0,0,6.2915,3
4,11,75,25,1,50,0,0,6.3433,3
4,11,25,75,0,0,1,100,7.382319,3
4,11,25,75,1,1,0,0,8.05,3
4,11,25,75,1,25,0,0,9.1877,3
4,11,50,50,1,1,0,0,9.2833,3
4,11,0,100,0,0,0,0,9.4,3
4,11,25,75,1,100,0,0,13.0316,4
4,11,0,100,0,0,1,100,15,4
4,11,25,75,1,75,0,0,16.243,4
