API,excipient,API_percent,API_coated,API_coat_percent,exc_coated,exc_coat_percent,API_silica_type,exc_silica_type,API_d10,API_d50,API_d90,API_d32,API_surf_eng,API_density,exc_d10,exc_d50,exc_d90,exc_d32,exc_surf_eng,exc_density,FF,FF_regime,API AR(-),API 1/AR,API Sphericity(-),API Elongation(-),exc AR(-),exc 1/AR,exc Sphericity(-),exc Elongation(-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,333,25,1,100,0,0,1,0,3.1,20,82,7.3,0.041,1290,31.3,117,165.4,49.1,0.056,1563,14.8761,4,0.55,1.818181818,0.81,0.45,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,333,25,0,0,1,100,0,1,3.1,20,82,7.3,0.041,1290,31.3,117,165.4,49.1,0.056,1563,20.17,4,0.55,1.818181818,0.81,0.45,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,333,50,0,0,1,100,0,1,3.1,20,82,7.3,0.041,1290,31.3,117,165.4,49.1,0.056,1563,3.53,2,0.55,1.818181818,0.81,0.45,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,333,50,0,0,0,0,0,0,3.1,20,82,7.3,0.041,1290,31.3,117,165.4,49.1,0.056,1563,3.6175,2,0.55,1.818181818,0.81,0.45,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,333,50,1,25,0,0,1,0,3.1,20,82,7.3,0.041,1290,31.3,117,165.4,49.1,0.056,1563,6.6816,3,0.55,1.818181818,0.81,0.45,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,333,50,1,50,0,0,1,0,3.1,20,82,7.3,0.041,1290,31.3,117,165.4,49.1,0.056,1563,6.7643,3,0.55,1.818181818,0.81,0.45,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,333,50,1,100,0,0,1,0,3.1,20,82,7.3,0.041,1290,31.3,117,165.4,49.1,0.056,1563,10.0106,4,0.55,1.818181818,0.81,0.45,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,333,50,1,1,0,0,1,0,3.1,20,82,7.3,0.041,1290,31.3,117,165.4,49.1,0.056,1563,12.9116,4,0.55,1.818181818,0.81,0.45,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,333,50,1,75,0,0,1,0,3.1,20,82,7.3,0.041,1290,31.3,117,165.4,49.1,0.056,1563,13.1528,4,0.55,1.818181818,0.81,0.45,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,333,75,0,0,1,100,0,1,3.1,20,82,7.3,0.041,1290,31.3,117,165.4,49.1,0.056,1563,2.09,2,0.55,1.818181818,0.81,0.45,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,333,75,0,0,0,0,0,0,3.1,20,82,7.3,0.041,1290,31.3,117,165.4,49.1,0.056,1563,2.1045,2,0.55,1.818181818,0.81,0.45,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,333,75,1,25,0,0,1,0,3.1,20,82,7.3,0.041,1290,31.3,117,165.4,49.1,0.056,1563,2.8547,2,0.55,1.818181818,0.81,0.45,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,333,75,1,50,0,0,1,0,3.1,20,82,7.3,0.041,1290,31.3,117,165.4,49.1,0.056,1563,2.9881,2,0.55,1.818181818,0.81,0.45,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,333,75,1,100,0,0,1,0,3.1,20,82,7.3,0.041,1290,31.3,117,165.4,49.1,0.056,1563,7.9464,3,0.55,1.818181818,0.81,0.45,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,333,75,1,75,0,0,1,0,3.1,20,82,7.3,0.041,1290,31.3,117,165.4,49.1,0.056,1563,12.7795,4,0.55,1.818181818,0.81,0.45,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,333,75,1,1,0,0,1,0,3.1,20,82,7.3,0.041,1290,31.3,117,165.4,49.1,0.056,1563,16.1753,4,0.55,1.818181818,0.81,0.45,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,333,25,0,0,0,0,0,0,3,8,19.3,5.5,0.04,1430,31.3,117,165.4,49.1,0.056,1563,6.9369,3,0.64,1.5625,0.84,0.55,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,333,25,1,1,0,0,1,0,3,8,19.3,5.5,0.04,1430,31.3,117,165.4,49.1,0.056,1563,7.15,3,0.64,1.5625,0.84,0.55,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,333,25,1,75,0,0,1,0,3,8,19.3,5.5,0.04,1430,31.3,117,165.4,49.1,0.056,1563,10.9878,4,0.64,1.5625,0.84,0.55,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,333,25,1,100,0,0,1,0,3,8,19.3,5.5,0.04,1430,31.3,117,165.4,49.1,0.056,1563,11.2884,4,0.64,1.5625,0.84,0.55,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,333,25,1,25,0,0,1,0,3,8,19.3,5.5,0.04,1430,31.3,117,165.4,49.1,0.056,1563,17.0027,4,0.64,1.5625,0.84,0.55,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,333,25,1,50,0,0,1,0,3,8,19.3,5.5,0.04,1430,31.3,117,165.4,49.1,0.056,1563,20.1654,4,0.64,1.5625,0.84,0.55,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,333,50,1,25,0,0,1,0,3,8,19.3,5.5,0.04,1430,31.3,117,165.4,49.1,0.056,1563,3.37,2,0.64,1.5625,0.84,0.55,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,333,50,0,0,0,0,0,0,3,8,19.3,5.5,0.04,1430,31.3,117,165.4,49.1,0.056,1563,3.5651,2,0.64,1.5625,0.84,0.55,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,333,50,1,75,0,0,1,0,3,8,19.3,5.5,0.04,1430,31.3,117,165.4,49.1,0.056,1563,3.7757,2,0.64,1.5625,0.84,0.55,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,333,50,1,100,0,0,1,0,3,8,19.3,5.5,0.04,1430,31.3,117,165.4,49.1,0.056,1563,3.9135,2,0.64,1.5625,0.84,0.55,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,333,50,1,50,0,0,1,0,3,8,19.3,5.5,0.04,1430,31.3,117,165.4,49.1,0.056,1563,4.1165,3,0.64,1.5625,0.84,0.55,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,333,50,1,1,0,0,1,0,3,8,19.3,5.5,0.04,1430,31.3,117,165.4,49.1,0.056,1563,4.3367,3,0.64,1.5625,0.84,0.55,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,333,75,1,25,0,0,1,0,3,8,19.3,5.5,0.04,1430,31.3,117,165.4,49.1,0.056,1563,2.453,2,0.64,1.5625,0.84,0.55,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,333,75,1,50,0,0,1,0,3,8,19.3,5.5,0.04,1430,31.3,117,165.4,49.1,0.056,1563,2.7381,2,0.64,1.5625,0.84,0.55,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,333,75,0,0,0,0,0,0,3,8,19.3,5.5,0.04,1430,31.3,117,165.4,49.1,0.056,1563,2.823,2,0.64,1.5625,0.84,0.55,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,333,75,1,75,0,0,1,0,3,8,19.3,5.5,0.04,1430,31.3,117,165.4,49.1,0.056,1563,2.834,2,0.64,1.5625,0.84,0.55,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,333,75,1,1,0,0,1,0,3,8,19.3,5.5,0.04,1430,31.3,117,165.4,49.1,0.056,1563,2.9398,2,0.64,1.5625,0.84,0.55,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,333,75,1,100,0,0,1,0,3,8,19.3,5.5,0.04,1430,31.3,117,165.4,49.1,0.056,1563,3.4411,2,0.64,1.5625,0.84,0.55,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,333,25,0,0,0,0,0,0,8.01,28.5,58.7,12.1,0.039,1120,31.3,117,165.4,49.1,0.056,1563,5.5047,3,0.6,1.666666667,0.84,0.49,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,333,25,1,25,0,0,1,0,8.01,28.5,58.7,12.1,0.039,1120,31.3,117,165.4,49.1,0.056,1563,9.8298,3,0.6,1.666666667,0.84,0.49,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,333,25,1,50,0,0,1,0,8.01,28.5,58.7,12.1,0.039,1120,31.3,117,165.4,49.1,0.056,1563,14.5282,4,0.6,1.666666667,0.84,0.49,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,333,25,1,75,0,0,1,0,8.01,28.5,58.7,12.1,0.039,1120,31.3,117,165.4,49.1,0.056,1563,20.1249,4,0.6,1.666666667,0.84,0.49,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,333,25,1,100,0,0,1,0,8.01,28.5,58.7,12.1,0.039,1120,31.3,117,165.4,49.1,0.056,1563,22.6,4,0.6,1.666666667,0.84,0.49,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,333,50,0,0,0,0,0,0,8.01,28.5,58.7,12.1,0.039,1120,31.3,117,165.4,49.1,0.056,1563,4.2581,3,0.6,1.666666667,0.84,0.49,0.59,1.694915254,0.78,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
